TABLE_NAME,COLUMN_NAME,DATA_TYPE,CHARACTER_MAXIMUM_LENGTH,IS_NULLABLE,IS_PRIMARY_KEY
----------,-----------,---------,------------------------,-----------,--------------
Accessories,Id,int,NULL,NO,PK
Accessories,ItemId,int,NULL,NO,
Accessories,Name,nvarchar,-1,NO,
Accessories,Model,nvarchar,-1,NO,
Accessories,Quantity,int,NULL,NO,
Accessories,Currency,nvarchar,10,YES,
Accessories,UnitPrice,decimal,NULL,YES,
Accessories,SerialNumbers,nvarchar,-1,NO,
Accessories,RequiresSerialNumbers,bit,NULL,NO,
AccessorySerialNumbers,Id,int,NULL,NO,PK
AccessorySerialNumbers,AccessoryId,int,NULL,NO,
AccessorySerialNumbers,SerialNumber,nvarchar,-1,NO,
Categories,Id,int,NULL,NO,PK
Categories,Name,nvarchar,-1,NO,
Categories,Description,nvarchar,-1,NO,
Categories,CreatedBy,nvarchar,-1,NO,
Categories,CreatedAt,nvarchar,-1,NO,
Categories,Role,nvarchar,-1,NO,
EquipmentTypes,EquipmentTypeId,int,NULL,NO,PK
EquipmentTypes,EquipmentTypeName,nvarchar,-1,NO,
EquipmentTypes,EquipmentModel,nvarchar,-1,NO,
ExtraItems,Id,int,NULL,NO,PK
ExtraItems,Name,nvarchar,-1,NO,
ExtraItems,Quantity,int,NULL,NO,
ExtraItems,Store,nvarchar,-1,NO,
ExtraItems,ExtraStatus,nvarchar,-1,NO,
ExtraItems,ExtraRecivedByName,nvarchar,-1,NO,
ExtraItems,Model1Id,int,NULL,NO,
IssuedAccessories,Id,int,NULL,NO,PK
IssuedAccessories,Name,nvarchar,-1,NO,
IssuedAccessories,Quantity,int,NULL,NO,
IssuedAccessories,MasterCardItemIssuedId,int,NULL,NO,
IssuedItems,Id,int,NULL,NO,PK
IssuedItems,RequestOrderForIssueId,int,NULL,NO,
IssuedItems,ItemNo,nvarchar,-1,NO,
IssuedItems,StockNumber,nvarchar,-1,NO,
IssuedItems,Description,nvarchar,-1,NO,
IssuedItems,Issued,int,NULL,NO,
IssuedItems,UnitPrice,decimal,NULL,NO,
ItemEditHistories,Id,int,NULL,NO,PK
ItemEditHistories,ItemId,int,NULL,NO,
ItemEditHistories,EditedBy,nvarchar,-1,NO,
ItemEditHistories,EditDate,nvarchar,-1,NO,
ItemEditHistories,EditGregorianDate,datetime2,NULL,NO,
ItemEditHistories,Changes,nvarchar,-1,NO,
Items,ItemId,int,NULL,NO,PK
Items,Currency,nvarchar,-1,NO,
Items,Description,nvarchar,-1,NO,
Items,Shelf,nvarchar,-1,NO,
Items,ItemColumn,nvarchar,-1,NO,
Items,ItemRow,nvarchar,-1,NO,
Items,VoucherNumber,nvarchar,-1,YES,
Items,ReceivedFrom,nvarchar,-1,NO,
Items,Condition,nvarchar,-1,NO,
Items,Quantity,int,NULL,NO,
Items,NumOfBox,int,NULL,YES,
Items,RegisteredBy,nvarchar,-1,NO,
Items,Category,nvarchar,-1,NO,
Items,Role,nvarchar,-1,NO,
Items,Model,nvarchar,-1,NO,
Items,WarehouseId,nvarchar,450,NO,
Items,RegistrationDate,nvarchar,-1,NO,
Items,UnitPrice,decimal,NULL,NO,
Items,Source,nvarchar,50,NO,
Items,GregorianDate,datetime2,NULL,YES,
